,Interface,Remote_Interface
0,regiona-acc01[Ethernet1],regiona-ce01[ge-0/0/4]
1,regiona-ce01[ge-0/0/4],regiona-acc01[Ethernet1]
2,regiona-acc01[Ethernet2],regiona-ce01[ge-0/0/5]
3,regiona-ce01[ge-0/0/5],regiona-acc01[Ethernet2]
4,regiona-acc01[Ethernet3],regiona-ce02[ge-0/0/4]
5,regiona-ce02[ge-0/0/4],regiona-acc01[Ethernet3]
6,regiona-acc01[Ethernet4],regiona-ce02[ge-0/0/5]
7,regiona-ce02[ge-0/0/5],regiona-acc01[Ethernet4]
8,regiona-acc01[Ethernet5],regiona-ce01[ge-0/0/6]
9,regiona-ce01[ge-0/0/6],regiona-acc01[Ethernet5]
10,regiona-acc01[Ethernet6],regiona-ce01[ge-0/0/7]
11,regiona-ce01[ge-0/0/7],regiona-acc01[Ethernet6]
12,regiona-acc01[Ethernet8],regiona-ce02[ge-0/0/7]
13,regiona-ce02[ge-0/0/7],regiona-acc01[Ethernet8]
14,regiona-acc01[Ethernet9],regiona-svr01[Ethernet1]
15,regiona-svr01[Ethernet1],regiona-acc01[Ethernet9]
16,regiona-acc01[Ethernet10],regiona-svr01[Ethernet2]
17,regiona-svr01[Ethernet2],regiona-acc01[Ethernet10]
18,regiona-acc01[Ethernet11],regiona-svr02[Ethernet1]
19,regiona-svr02[Ethernet1],regiona-acc01[Ethernet11]
20,regiona-acc01[Ethernet12],regiona-svr02[Ethernet2]
21,regiona-svr02[Ethernet2],regiona-acc01[Ethernet12]
22,regiona-ce02[ge-0/0/0],regiona-pe01[GigabitEthernet0/0/0/3]
23,regiona-pe01[GigabitEthernet0/0/0/3],regiona-ce02[ge-0/0/0]
24,regiona-ce02[ge-0/0/1],regiona-pe02[GigabitEthernet0/0/0/3]
25,regiona-pe02[GigabitEthernet0/0/0/3],regiona-ce02[ge-0/0/1]
26,regiona-ce02[ge-0/0/2],regiona-ce01[ge-0/0/2]
27,regiona-ce01[ge-0/0/2],regiona-ce02[ge-0/0/2]
28,regiona-ce02[ge-0/0/3],regiona-ce01[ge-0/0/3]
29,regiona-ce01[ge-0/0/3],regiona-ce02[ge-0/0/3]
30,regiona-pe02[GigabitEthernet0/0/0/0],regionb-pe02[ge-0/0/0]
31,regionb-pe02[ge-0/0/0],regiona-pe02[GigabitEthernet0/0/0/0]
32,regiona-pe02[GigabitEthernet0/0/0/1],regiona-pe01[GigabitEthernet0/0/0/1]
33,regiona-pe01[GigabitEthernet0/0/0/1],regiona-pe02[GigabitEthernet0/0/0/1]
34,regiona-pe02[GigabitEthernet0/0/0/2],regiona-ce01[ge-0/0/1]
35,regiona-ce01[ge-0/0/1],regiona-pe02[GigabitEthernet0/0/0/2]
36,regionb-pe02[ge-0/0/1],regionb-pe01[ge-0/0/1]
37,regionb-pe01[ge-0/0/1],regionb-pe02[ge-0/0/1]
38,regionb-pe02[ge-0/0/2],regionb-ce01[ge-0/0/1]
39,regionb-ce01[ge-0/0/1],regionb-pe02[ge-0/0/2]
40,regionb-pe02[ge-0/0/3],regionb-ce02[ge-0/0/1]
41,regionb-ce02[ge-0/0/1],regionb-pe02[ge-0/0/3]
42,regionb-ce02[ge-0/0/0],regionb-pe01[ge-0/0/3]
43,regionb-pe01[ge-0/0/3],regionb-ce02[ge-0/0/0]
44,regionb-ce02[ge-0/0/2],regionb-ce01[ge-0/0/2]
45,regionb-ce01[ge-0/0/2],regionb-ce02[ge-0/0/2]
46,regionb-ce02[ge-0/0/3],regionb-ce01[ge-0/0/3]
47,regionb-ce01[ge-0/0/3],regionb-ce02[ge-0/0/3]
48,regionb-ce02[ge-0/0/4],regionb-acc01[Ethernet3]
49,regionb-acc01[Ethernet3],regionb-ce02[ge-0/0/4]
50,regionb-ce02[ge-0/0/5],regionb-acc01[Ethernet4]
51,regionb-acc01[Ethernet4],regionb-ce02[ge-0/0/5]
52,regionb-ce02[ge-0/0/6],regionb-acc02[Ethernet3]
53,regionb-acc02[Ethernet3],regionb-ce02[ge-0/0/6]
54,regionb-ce02[ge-0/0/7],regionb-acc02[Ethernet4]
55,regionb-acc02[Ethernet4],regionb-ce02[ge-0/0/7]
56,regionb-acc02[Ethernet1],regionb-ce01[ge-0/0/6]
57,regionb-ce01[ge-0/0/6],regionb-acc02[Ethernet1]
58,regionb-acc02[Ethernet2],regionb-ce01[ge-0/0/7]
59,regionb-ce01[ge-0/0/7],regionb-acc02[Ethernet2]
60,regionb-acc02[Ethernet5],regionb-svr02[Ethernet1]
61,regionb-svr02[Ethernet1],regionb-acc02[Ethernet5]
